vanaisa,21
vii,21
ğerif,21
d,20
denveris,20
ettevaatlik,20
korra,20
kuulsid,20
kätte,20
lasta,20
loodan,20
miili,20
mimi,20
mõtlen,20
nimi,20
näed,20
nõus,20
r,20
sobib,20
sti,20
toon,20
tähendab,20
töö,20
vaatama,20
vajavad,20
vähem,20
ühe,20
atlantas,19
ee,19
endale,19
farmi,19
hakkavad,19
kaitsta,19
kell,19
koht,19
käest,19
näen,19
okei,19
peaksin,19
plahvatus,19
ravimeid,19
saime,19
sees,19
selline,19
suri,19
sõber,19
süüa,19
taga,19
teiega,19
tunnen,19
uh,19
vahele,19
vajad,19
võinud,19
võis,19
Ütle,19
üldse,19
aja,18
andeks,18
andis,18
elektri,18
hakkad,18
jääb,18
kadunud,18
kohtume,18
kuud,18
kuuled,18
lähevad,18
mõni,18
põhja,18
raekoja,18
raekotta,18
räägin,18
rünnak,18
saaksid,18
tahtis,18
tapsid,18
teised,18
toit,18
too,18
turvaline,18
tõsiselt,18
töötab,18
umbes,18
unusta,18
valitsus,18
vend,18
york,18
üksi,18
aasta,17
ees,17
haigla,17
idee,17
is,17
istu,17
jätsid,17
jätta,17
kohas,17
kuskile,17
käinud,17
leiame,17
lähedal,17
läksid,17
maailma,17
milline,17
olime,17
ongi,17
p,17
peate,17
pidi,17
pihta,17
plaan,17
poisid,17
president,17
ra,17
rogue,17
sinust,17
tahaks,17
teadnud,17
teate,17
toidu,17
tulnud,17
usu,17
vaadata,17
vihm,17
võibolla,17
Ğerif,17
äri,17
cheyenne,16
eelnevalt,16
elada,16
eriti,16
haiglas,16
heaküll,16
kahe,16
kelle,16
kiiresti,16
kuulake,16
laps,16
meist,16
mõne,16
n,16
nalja,16
nendest,16
niisiis,16
oleksin,16
otsima,16
paistab,16
parim,16
peaksime,16
rob,16
ruumi,16
sellist,16
sullivan,16
teadma,16
tugev,16
tühi,16
uue,16
võimalik,16
võivad,16
võtma,16
õige,16
allison,15
arva,15
ashlee,15
ellu,15
hommikul,15
hull,15
iganes,15
issand,15
kaugel,15
last,15
loll,15
lugu,15
maailm,15
meiega,15
minust,15
mitch,15
mõtled,15
nemad,15
nädala,15
nädalat,15
pidin,15
poiss,15
pomm,15
raadio,15
rahulikult,15
samuti,15
siiani,15
teise,15
tunned,15
tuua,15
uus,15
uut,15
vaatame,15
vale,15
valikut,15
võtan,15
üleval,15
üritan,15
ainuke,14
buss,14
helistanud,14
hinga,14
inimestele,14
kellegi,14
kindlaks,14
kohal,14
kuradit,14
kuskil,14
kümme,14
luban,14
maa,14
magama,14
meelis,14
mõelda,14
mõistad,14
mööda,14
otsas,14
paremini,14
pommid,14
preili,14
päevaks,14
relv,14
saate,14
skylar,14
suudame,14
tahavad,14
tegime,14
teist,14
telefon,14
tunni,14
usun,14
vihma,14
viimased,14
vist,14
ääres,14
õnnetus,14
öelnud,14
ütleb,14
ütled,14
ajaks,13
alates,13
armas,13
autot,13
beebi,13
em,13
ennem,13
hakka,13
huvita,13
inimene,13
jookse,13
järgmine,13
kah,13
kao,13
kaos,13
kasutame,13
kaupa,13
kellega,13
keset,13
kuu,13
kuulda,13
kuuldele,13
kuuleb,13
kuus,13
kähku,13
kõigile,13
küsimus,13
leida,13
liigume,13
luba,13
läheme,13
lõuna,13
mahub,13
mehi,13
mereväelased,13
milles,13
mingit,13
miski,13
mäletad,13
näe,13
näeb,13
nägid,13
olemas,13
olge,13
raske,13
ringi,13
räägib,13
saaksime,13
silma,13
stacy,13
surma,13
suudan,13
sõna,13
tahame,13
tappis,13
teadsin,13
tehtud,13
tüdruk,13
uskuda,13
uudiseid,13
vahel,13
vesi,13
victor,13
võttis,13
Ärge,13
andnud,12
cafferty,12
elekter,12
elektrit,12
ga,12
hiljem,12
hommikust,12
inglike,12
inimestel,12
jäta,12
jään,12
kellele,12
korraga,12
kõigest,12
kõigi,12
lahku,12
laseme,12
le,12
linnale,12
läheduses,12
lõpetage,12
magada,12
meel,12
mr,12
nädalaid,12
onju,12
panna,12
pealt,12
peret,12
püsti,12
radioaktiivne,12
rääkisid,12
rünnakuid,12
sõbrad,12
tavaliselt,12
teavad,12
temast,12
tutvuda,12
tõde,12
tõenäoliselt,12
tõlkis,12
vahest,12
valesti,12
viime,12
voodisse,12
võiksime,12
võtame,12
aimugi,11
aknast,11
anderson,11
andke,11
annan,11
haiglasse,11
hetk,11
hey,11
hiina,11
ikkagi,11
jonahiga,11
jääma,11
kasutada,11
kellelegi,11
kohale,11
kondor,11
kutid,11
lastele,11
lõppes,11
muud,11
mõelnud,11
mõte,11
mõttes,11
ohtlik,11
ohutu,11
ok,11
ootan,11
otsustasime,11
paljud,11
panen,11
proovin,11
prowse,11
rast,11
relvad,11
riley,11
seega,11
silla,11
suutnud,11
tahtsid,11
teeks,11
teete,11
tegu,11
toas,11
tuhat,11
tuleme,11
tähtis,11
tänu,11
valed,11
väike,11
väsinud,11
võtad,11
võtnud,11
üht,11
ühte,11
ütlema,11
ainus,10
ajast,10
arst,10
arsti,10
arusaadav,10
c,10
elama,10
haiget,10
heb,10
iial,10
infot,10
inud,10
isaga,10
isale,10
itta,10
jääd,10
jääme,10
jõudnud,10
kallike,10
kaotasime,10
koolis,10
kuna,10
kuulus,10
käsi,10
kõrval,10
külm,10
lapsi,10
leia,10
leigh,10
lihtne,10
limonaadi,10
lja,10
loomulikult,10
läänest,10
meelde,10
meeldi,10
moodi,10
niiet,10
niikaua,10
oo,10
otse,10
paari,10
paariks,10
paneme,10
panin,10
pealik,10
peavad,10
pidime,10
poodi,10
puhas,10
päästa,10
põrgu,10
ravenwood,10
rääkinud,10
