sent,115
actually,114
question,114
spring,114
using,114
yesterday,114
york,114
ones,113
face,112
less,112
important,111
though,111
year,111
alone,110
comes,110
nuclear,110
read,110
share,110
change,109
previously,108
answer,107
federal,107
feed,107
set,107
extra,106
kept,106
means,106
ashlee,105
bed,105
married,105
patrol,105
refugees,105
breathing,104
happy,104
parents,104
sounds,104
afraid,103
es,103
hurry,103
point,103
position,103
staying,103
aren,102
east,102
either,102
eye,102
glad,102
hasn,102
kidding,102
victor,102
warm,102
constantino,101
middle,101
ahead,100
asked,100
el,100
eyes,100
nowhere,100
somewhere,100
weird,100
♪,100
camp,99
eat,99
till,99
un,99
empty,98
en,98
guns,98
mitch,98
package,98
doctor,97
black,96
emergency,96
main,96
south,96
states,96
welcome,96
bailey,95
choice,95
missed,95
order,95
pick,95
skylar,95
towns,95
accident,94
finally,94
lose,94
stupid,94
within,94
between,93
cities,93
company,93
reason,93
street,93
worst,93
chief,92
figured,92
hide,92
ourselves,92
party,92
questions,92
speak,92
tired,92
anderson,91
blow,91
follow,91
front,91
person,91
pressure,91
shut,91
smart,91
woman,91
cold,90
dangerous,90
fuel,90
heading,90
step,90
basement,89
break,89
cop,89
sooner,89
yours,89
atlanta,88
copy,88
fall,88
such,88
meds,87
miss,87
weren,87
light,86
terrorists,86
trade,86
breathe,85
flying,85
hang,85
learn,85
list,85
play,84
angel,83
box,83
sort,83
synchro,83
anyway,82
chicago,82
decided,82
irs,82
plane,82
build,81
cafferty,81
completely,81
looked,81
transcript,81
brought,80
called,80
goetz,80
moved,80
roads,80
shouldn,80
starting,80
straight,80
takes,80
write,80
deep,79
happening,79
possible,79
save,79
scared,79
secret,79
small,79
allison,78
deputy,78
lights,78
none,78
quick,78
realize,78
rogue,78
seem,78
u,78
worked,78
],77
helping,77
secure,77
strong,77
talked,77
watching,77
wonder,77
[,76
along,76
department,76
dozen,76
respect,76
sick,76
stole,76
apart,75
death,75
friends,75
governor,75
grandfather,75
law,75
taken,75
unless,75
anywhere,74
ass,74
deputies,74
feet,74
kenchy,74
los,74
losing,74
ranch,74
refugee,74
tanks,74
fallout,73
knowing,73
late,73
later,73
nebraska,73
pay,73
threat,73
exactly,72
hmm,72
o,72
pulse,72
pump,72
rennie,72
book,71
explain,71
feeling,71
its,71
jessica,71
louis,71
meeting,71
month,71
st,71
american,70
chavez,70
chinook,70
dark,70
direction,70
dying,70
football,70
terrorist,70
top,70
debt,69
game,69
given,69
hospital,69
prison,69
thanksgiving,69
bit,68
board,68
highway,68
horses,68
hot,68
machine,68
mess,68
national,68
neither,68
seriously,68
showed,68
storm,68
whoever,68
window,68
armed,67
control,67
due,67
evidence,67
goes,67
message,67
mississippi,67
playing,67
sean,67
system,67
broken,66
buddy,66
con,66
daughter,66
diesel,66
group,66
lie,66
ride,66
seal,66
shoot,66
barn,65
longer,65
meant,65
rate,65
reach,65
sell,65
si,65
stays,65
wedding,65
beer,64
drink,64
early,64
families,64
fema,64
known,64
por,64
virus,64
barely,63
books,63
charlie,63
condor,63
deer,63
iodine,63
marry,63
med,63
mister,63
past,63
pesticides,63
police,63
sometimes,63
stacy,63
trading,63
badges,62
buy,62
fault,62
hundred,62
quite,62
women,62
body,61
emp,61
favor,61
loved,61
luck,61
plenty,61
stuck,61
una,61
wichita,61
bar,60
caught,60
count,60
crime,60
planning,60
sleeping,60
slow,60
starts,60
church,59
danger,59
drop,59
electricity,59
pack,59
report,59
risk,59
state,59
track,59
attention,58
authority,58
boys,58
chaos,58
children,58
china,58
file,58
holding,58
hunting,58
korea,58
mission,58
parts,58
seems,58
steal,58
vaccine,58
valente,58
calling,57
catch,57
clothes,57
imagine,57
john,57
route,57
sitting,57
terrible,57
texas,57
trip,57
able,56
dinner,56
dr,56
kick,56
lives,56
ooh,56
prepared,56
pull,56
short,56
th,56
yo,56
lock,55
para,55
percent,55
pool,55
post,55
sergeant,55
stops,55
bleeding,54
busy,54
crash,54
eight,54
force,54
guard,54
husband,54
moment,54
quiet,54
reporting,54
se,54
sullivan,54
towards,54
tv,54
awful,53
free,53
ok,53
reports,53
resources,53
seeing,53
shower,53
static,53
trish,53
walking,53
cool,52
fit,52
fourth,52
funny,52
harry,52
